type,description
Bubble wrap,"What?
Bubble wrap is a soft plastic and is currently not accepted in your household recycling bin.
Where?
Bubble wrap should be placed in the general waste bin.
Some Civic Amenity Sites may accept bubble wrap – check out the Waster Services Locator on this site for further details.
General Comment / Tip
Bubble wrap can be reused."
Carpets,"What?
Carpets are generally made from bound synthetic fibres or wool.
Due to the different materials used to manufacture carpets they are currently unrecyclable.
Where?
Small quantities can be placed in the household general waste bin but larger quantities should be disposed of by hiring a skip or taking the material to a waste transfer station."
Building materials,"What?
Building materials are generally classified as construction and demolition (C&D) waste.
Where?
Skip hire companies generally provide a recycling service for some materials and a disposal service for others.
Some civic amenity sites also accept this material. Check the waste services locator on this site.
General Comment / Tip
Before disposing of building materials always consider reuse –  do you have a DIY project that you might be able to use them for?"
Cotton Wool,"What?
Cotton wool is a form of textile and comes in different sizes and densities.
Where?
Cotton wool should be placed in the general waste bin.
Why?
Do not try to flush away cotton wool – it expands when placed in water and can cause blockages."
Washer dryers,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
MP3 players,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Plasterboard,"What?
This is building material
Where?
Check the map for your local civic amenity site with the list of items they accept."
"FOG (Fats, Oils & Greases)","What?
Fats, oils and greases are food waste.
Where?
If you have a Food Waste Recycling service small amounts of fats, oils and grease can be disposed of in the food waste recycling bin. Remember to remove packaging.  Soiled kitchen roll which has been used to clean a pan can also be placed in the food waste recycling bin.
Larger quantities of used cooking oil can be brought to most Civic Amenity Sites. Check the Waste Services Locator on this site.
 
General Comment / Tip
Fats, oils and greases should not be poured down sinks as they cause blockages.
Fats, oils and greases are not suitable for home composting."
Sellotape,"What?
This is a soft plastic
Where?
This should be placed in the general waste bin.
Prevention Tip
Wrapping a present? Why not use ribbon or string instead – it looks pretty and can be reused over and over again."
credit / debit / gift cards,"What?
Any plastic card such as a credit card or gift card
What?
The plastic used in the majority of cards is recyclable but may cards now will contain technology that can potentially interfere with automatic sorting procedure.
Where?
It’s best to place them in the general waste bin. If you find a credit or debit card please try to return it to the bank which it belongs"
DVD & CD players,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Chemicals,"What?
Generally chemicals are hazardous and fall in the category of hazardous waste.
This includes items such as some fertilizers, pesticides and herbicides.
Where?
This material should not be placed in your household bins.
Some Civic Amenity Sites accept household hazardous waste. Please check the Waste Services Locator for details of items accepted in a Civic Amenity Site near you. Some Local Authorities organise household hazardous waste collections also.
General Comment / Tip
It is very important to dispose of household hazardous wastes correctly, as they have the potential to contaminate the environment is not dealt with properly."
Tyres,"What?
Tyres are composite materials.
General Comment / Tip
The Repak ELT tyre compliance scheme is being established to track tyres coming onto the market in Ireland and generate an accurate figure of the tyres that will be coming off as waste. Repak ELT scheme tyres will be monitored and managed in an environmentally sound manner. Industry operators – through membership of the scheme – take responsibility for the waste arising from the sale of tyres and vehicles at each stage of distribution.
All tyre operators must join the scheme to be compliant. A visible Environmental Management Cost (vEMC) will cover the environmental disposal of members waste tyres.
Repak ELT Registered Collectors will collect tyre waste from Repak ELT member outlets and will only be paid once they have submitted documentation proving that the tyres they collected were managed in an environmentally sound manner.
Producer responsibility initiatives in other waste streams have transformed waste with a negative value to one of positive value as a resource for recycled material and innovative green products. Tyres are currently a resource in that they can be recycled, recovered and processed.
Repak ELT tyre compliance scheme will work to bring improved environmental outcomes for end of life tyres. In time with the advancement of technologies, our goal is to see tyre waste moving to having a positive value."
Plastic tubs & trays,"What?
This is a rigid plastic
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin."
Printer cartridges,"What?
This is a composite
Where?
This should be placed in the general waste bin.
General Comment / Tip
How should I reuse printer cartridges?

Get them refilled!

Why not take your empty cartridges to be refilled? You can save up to 60% on the price of a new cartridge!

Refill them yourself!

Refilling inkjet cartridges is straightforward and can be done on a DIY basis, with a number of companies supplying the ink and refilling equipment.

When buying your printer, choose one that uses cartridges that can be easily refilled or that can easily accept generic or refilled cartridges.

What else can I do with them?

Donate them! Lots of charities collect empty printer cartridges to raise money by refilling and reselling them.

Take a look at the internet to find charities in your area that are collecting printer cartridges."
Dishwasher,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Christmas tree lights,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Cardboard Packaging,"What?
Cardboard packaging is generally made from heavy duty paper based material and comes in many shapes and sizes.
Where?
This should be placed in the household recycling bin or if you have large volumes check the waste services locator on this site.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
Soiled or wet cardboard cannot be recycled."
Telephone directories,"What?
This is a paper or card.
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled."
Ash / Ashes,"What?
Ash is produced generally from coal, wood or turf.
Where?
Ash from coal should only be placed in the general waste bin.
Small amounts of ash from wood or turf can be placed in your home compost bin.
Why?
Ash produced from coal has no nutritional value and can be harmful to soil.
General Comment / Tip
Ensure ash is fully cold before placing in the bin."
Oil (car),"Where?
This should be brought to a designated drop off area or civic amenity site, check the map for details.
How?
Make sure your used engine oil is stored in a sealed container. Don’t mix engine oil with any other substance – as this makes it difficult to recycle."
Wood & timber,"What?
This is building material.
Where?
This should be brought to a civic amenity site, check the waste services locator on this site."
Engine oil,"What?
This is a hazardous waste.
Where?
Check the Waste Services Locator on this site to find your nearest Civic Amenity Site.
How?
Make sure that used engine oil is stored in a sealed container. Don’t mix engine oil with any other substance – as this makes it difficult to recycle."
Plastic film,"What?
Plastic film is a soft plastic and is currently not accepted at kerbside for recycling.
 
Where?
If disposing at kerbside, plastic film should currently be placed in the general waste bin."
Crisp packets,"What?
Crisp packets are made of a number of different materials and are currently not suitable for recycling.
Where?
Crisp packets should be placed in the general waste bin.
General Comment / Tip
Although the inside of the packet is shiny and looks like foil, it is in fact a metallised plastic film. This type of material is not currently recycled and should not be put in your recycling bin."
DIY equipment,"What
Many items constitute non electrical DIY equipment and include hammers, nails, wheelbarrows and ladders.
Where
If you have these types of items for disposal and they are in good/safe working order, you could consider selling or donating them.
Many metal and timber items are accepted at most Civic Amenity Sites, check the Waste Service Locator on this site for further details.
General Comment / Tip
Look out for local swapping events and car boot sales."
Water filters,"What?
Water filters are generally made of plastics and activated carbon. So this means it is a composite material.
Where?
Water filters are generally made of plastics and activated carbon. So this means it is a composite material and should be disposed of in the general waste bin.
General Comment / Tip
Water filters cannot be recycled as part of your recycling collection scheme nor at Civic Amenity Sites. However, if you use a BRITA branded water filter you can recycle the used filters at most Argos and Homebase stores where boxes are provided for the collection of used cartridges."
Postage stamps,"What?
This is a paper or card
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled."
Milk bottles [plastic],"What?
This is plastic.
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin."
Clothes,"What?
Anything made of material or fabrics is a textile and should not be placed in your general or recycling bin.
Where?
Clothing and textiles should be placed in a clothing bank.
Why?
We need to keep clothes and textiles out of landfill because it helps to reduces greenhouse gases.
A lot of clothing is made of organic material, meaning that it is derived from natural sources and is biodegradable. But landfills lack the oxygen needed for organic materials to break down so, when clothing does end up in a landfill, it decomposes through anaerobic digestion.
General Comment / Tip
If you have NEW, unwanted or barely used items these can be donated to charity."
Kettle,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
Why not get a No Junk Mail Sticker for your letter box to cut down on this unnecessary waste?"
Paint cans (empty),"What?
This is general waste
Where?
These can be placed in your residual bin."
Cars,"What?
If your car is in a roadworthy condition, you may be able to sell it privately or trade-in when you buy a new one.
Where?
Bring them to an authorised facility
General Comment / Tip
An end-of-life vehicle is a specified vehicle, such as a car, which is discarded or is to be discarded by its registered owner as waste. Vehicles normally reach the end of their useful lives, either due to age (typically around 12-14 years), or because of heavy damage following an accident. There is no fixed age, therefore, at which a vehicle can be considered an end-of-life vehicle. An end-of-life vehicle must be deposited at an authorised treatment facility. Each vehicle manufacturer or importer is required to have a national collection system in place made up of at least one such treatment facility in every city and council area. These facilities provide a free take-back service for vehicles of that producer’s brand. There may also be an independent facility in your area that will accept your end-of-life vehicle. If an end-of-life vehicle is deposited at an unauthorised facility, the owner will not receive a certificate of destruction and may remain recorded as registered owner of the vehicle on the Department of Transport, Tourism and Sport National Vehicle File."
Torch,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Tiles (floor and wall),"What?
Tiles are classified as building material.
Where?
Old, broken or damaged tiles should be brought to a civic amenity site and disposed of with construction and demolition (C&D) waste. Check the  waste services locator on this site.
Prevention Tip
Artists or furniture upcycling projects may be able to use small quantities of tiles for projects particularly unusual tiles. More information about upcycling projects can be found here: http://www.crni.ie"
Pizza boxes,"What?
This is a paper or card
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If the pizza box is soiled with grease please put it in the food waste recycling bin along with any uneaten pizza. Clean pizza boxes can be placed in the recycling bin."
Glass Bottles & Jars,"What?
Glass bottles and jars generally fall into three categories – clear glass, green glass and brown glass, each of which is recyclable.
Where?
All clear glass, green and brown glass should be placed into glass recycling containers at your local bring bank.
See Waste Services Locator on this site for local details."
Hedge trimmers,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Keys (metal),"What?
This is a metal.
Where?
This should be brought to a civic amenity site where the keys can be recycled along with other scrap metal. Check the waste services locator on this site.
How?
Remove any plastic tags or key rings before depositing your keys in the mixed metal skips.
General Comment / Tip
Sell them!
If you have a large collection of keys to dispose of, try contacting a local scrap metal merchant."
Blender,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Food tins & drink cans,"What?
This is a metal [Tins & Cans]
Where?
This should be placed in the household recycling bin.
How?
Empty and rinse items – left over foods or liquids can contaminate other recyclables.

You can leave labels on – these are removed in the recycling process.

Metal lids and caps can also be placed in the household recycling bin.
General Comment / Tip
Look out for charities such as Every Can Counts at events and festivals: http://www.everycancounts.ie"
Plush Toys,"What?
This is a textile or clothing
Where?
This should be placed in a clothing bank.
How?
We need to keep clothes and textiles out of landfill because it helps to reduces greenhouse gases: A lot of clothing is made of organic material, meaning that it is derived from natural sources and is biodegradable. But landfills lack the oxygen needed for organic materials to break down so, when clothing does end up in a landfill, it decomposes through anaerobic digestion.
General Comment / Tip
If you have NEW unused and unwanted items these can be donated to charity."
Radios,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Rags,"What?
Anything made of material or fabrics is a textile and should not be placed in your general or recycling bin.
Where?
Clothing and textiles should be placed in a clothing bank.
Why?
We need to keep clothes and textiles out of landfill because it helps to reduces greenhouse gases.
A lot of clothing is made of organic material, meaning that it is derived from natural sources and is biodegradable. But landfills lack the oxygen needed for organic materials to break down so, when clothing does end up in a landfill, it decomposes through anaerobic digestion.
General Comment / Tip
If you have NEW, unwanted or barely used items these can be donated to charity."
Printers,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Fluorescent tubes,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Gift Bags,"What?
These are generally made of heavy paper or light card and sometimes have a layer of plastic.
Where?
They can be reused over and over and when no longer fit for purpose should be placed in the Recycling bin.
General Comment / Tip
If possible pull any ribbons off gift bags before placing in the recycling bin."
Household Hazardous waste,"Where?
Check the map for your local civic amenity site with the list of items they accept
General Comment / Tip
Hazardous household waste items are those items that can cause damage to health or the environment. Many recycling centres accept certain types of household hazardous waste – so check the Waste Services Locator on this site for further details."
Video tapes,"What?
Video tapes are generally made up of a number of different types of materials including rigid plastic and plastic film.
Where?
Where possible video tapes should be dismantled and the outer rigid part placed in the recycling bin. The soft plastic tape should be placed in the general waste bin."
Fire alarms,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Lever Arch Folders,"What?
A folder used by businesses and students for filing and storing notes
Where?
If they are made from cardboard – separate the metal lever arch panel from the binder, put both parts in the recycling bin. If they are made from plastic or are plastic covered – remove the metal lever arch panel from the binder and put in the recycling bin. The plastic binder is generally not recyclable, unless it is made from eg polypropylene..
Comment
Virgin fibre paper ring binders are made from tree fibre and use a lot of water, energy and trees. If they end up in landfill it’s a great waste of valuable resources – it could have up to 7 more lives in recycled paper. Not only that, but in landfill as it decomposes it gives off methane – a greenhouse gas.
Plastics are made from non-renewable natural resources such as crude oil, gas and coal. Plastic binders can theoretically be recycled but most aren’t in practice. In landfill they hang round for centuries. The worst plastic lever arch files are made from or covered in PVC (Poly Vinyl Chloride) which is polluting and problematic both in production and in landfill."
Photographs,"What?
This is a paper or card
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
Pass them on…

Could the photographs be of historical interest? Ask your local history society to see if they could be useful to their research

What about other family members, especially the younger ones? They might find them of interest in years to come…

Are they photos of friends? They might like to keep them

Check the ads in local newspapers – look out for announcements along the lines of “”We want your old photos””"
Doors,"What?
Doors nowadays can be made from various materials including wood, steel, fiberglass, UPVC/vinyl, aluminum or glass.
Where?
Doors can often be recycled, especially those made from wood.
Check your local civic amenity site on the Waste Services Locator on this site.
Some local authorities may also provide a bulky goods collection service for a fee.
General Comment / Tip
If you have a door that is still usable, you could consider selling it or passing it on to someone who needs it."
Sat navs,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Construction & Demolition (C&D) Waste,"What?
Construction and demolition (C&D) waste generally consists of rubble, bricks, soil and stone, tiles and even old sanitary ware.
Where?
Check the waste services locator on this site."
Lawnmowers,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Toothbrush [manual],"What?
This is a composite generally made from different types of plastic.
Where?
Old toothbrushes should be placed in the general waste bin.
Prevention Tip:
Eco-toothbrushes are becoming more popular and are now widely available. Eco varieties are generally made from bamboo or wood and can be composted at end of life. If you are interested in reducing the amount of plastic you generate consider swapping your plastic toothbrush to an eco one.
Old plastic toothbrushes can be used as cleaning tools for fiddly jobs."
Bathroom suites,"What?
Bathroom suites no longer fit for purpose can be disposed of similarly to construction and demolition (C&D) waste.
Where?
Skip hire companies provide varying skip services.
Some civic amenity sites also accept this material. Check the waste services locator on this site for further detail.
General Comment / Tip
Before disposing of bathroom suites always consider reuse."
Chairs,"What?
Chairs are furniture and considered a bulky item for disposal.
Where?
Furniture at the end of its useful life can often be recycled, especially items made from wood and metal.
Some furniture can be recycled at your local civic amenity site, check the Waste Services Locator on this site for additional information.
Some local authorities may also provide a bulky goods collection service for a fee.
Also check out up cycling projects that welcome donations of furniture, some of which are listed on www.crni.ie
General Comment / Tip
If you have a piece of furniture that is still usable, you could consider selling it, passing it on to someone else or donating it – some charity shops accept furniture for resale. There are also furniture up cycling projects that welcome donations check out www.crni.ie."
Christmas trees (Real),"What?
Real Christmas Trees can be mulched by specialised contractors.
Where?
Many Local Authorities arrange special Christmas Tree collection points during January each year – check with your Local Authority for local details.
General Comment / Tip
Why not have a Christmas tree in a large plant pot and let it grow outdoors throughout the year, taking it inside when you need it, a living tree is extremely beneficial to the environment."
Batteries,"What?
Household batteries of any size including battery packs from electrical items are suitable for recycling.
Where?
Batteries should be brought to a WEEE dropoff recycling point or to a Civic Amenity Site.
Check the Waste Services Locator on this site for further details.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill.
Batteries generally contain hazardous components and therefore need to be disposed of correctly.
General Comment / Tip
Most supermarkets will have battery boxes where you can leave your used batteries for free.
If you use a lot of batteries why not try using rechargeable ones instead."
Aluminium trays,"What?
Aluminium foil and trays are a type of metal similar to tins & cans.






Where?
Aluminium foil and trays can be placed in the household recycling bin but only if completely clean.
Why?
Aluminium can be recycled over and over without losing any of its properties.


How?
All food residue must be removed, then place the foil in the bin clean, dry and loosely.
Scrunch kitchen foil and tubs to form a ball – the bigger the ball, the easier it is to recycle."
Gardening tools,"What?
Gardening tools such as hand shovels, rakes and brushes generally have wooden and metal components. Other garden tools such as strimmers and leaf blowers are electrical or fuel powered.
Where?
All electrical or battery powered tools can be brought to a Civic Amenity Site or returned to an electrical retailer for recycling.
Some components of hand held tools are recyclable such as a metal handle or shovel. Metal is generally accepted at Civic Amenity Sites. Check the Waste Services Locator on this site.
General Comment / Tip
Many gardening tools can be repaired by replacing for example the wooden handle or getting them sharpened. Check out your local Mens Shed who often provide this service or click here to access Ireland’s online repair directory."
Duvets & pillows,"What?
Duvets and pillows are classified as textiles.
Although most textiles are suitable for recycling due to hygiene reasons duvets and pillows aren’t.
Where?
This should be placed in the general waste bin.
General Comment / Tip
If you have NEW unused and unwanted items these can be donated to charity. If you have used ones which are in good condition perhaps you could donate them to an animal shelter – check with your local centre first. Textile banks do not accept used pillows and duvets for hygiene reasons."
Cookers,"What?
Electrical and gas cookers are the most common found in Ireland.
Where?
Electrical cookers should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Gas cookers are generally accepted at most Civic Amenity Sites, check the waste services locator on this site for further details.
Why?
When you recycle anything made of metal or with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Computer monitors,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Medicines,"What?
This is hazardous waste.
Where?
Return unused or unwanted medicines to the pharmacy or dispose of at your local civic amenity site if it accepts this type of hazardous waste. Check the waste services locator on this site."
Electronic games,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Energy-saving bulbs,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Coffee pods/capsules,"What?
Coffee pods are made up of many materials which makes them unsuitable for recycling.
Where?
Generally coffee pods should be placed in the general waste bin."
Filters (water),"What?
Water filters are generally made of plastics and activated carbon. So this means it is a composite material.
Where?
This should be placed in the general waste bin.
General Comment / Tip
Water filters cannot be recycled as part of your recycling collection scheme nor at Civic Amenity Sites. However, if you use a BRITA branded water filter you can recycle the used filters at most Argos and Homebase stores where boxes are provided for the collection of used cartridges."
Catalogues,"What?
Catalogues are generally made of paper and card.
Where?
Catalogues and similar items should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to a sorting facility it may not be recycled."
